sentence,logit,prediction,sentiment_score
"title,
BofA names picks to play growing penetration of online commerce,?",[0.68069303 0.01485556 0.3044514 ],positive,0.66583747
"""Amazon says nearly 20,000 workers got COVID-19 this year"",?",[0.15024047 0.02709725 0.82266223],neutral,0.12314322
"Amazon price target raised at Pivotal on undervalued ad business,?",[0.30223072 0.6106178  0.08715149],negative,-0.3083871
"Investors' Covid trend expectations laid bare in Q3 analysis of top performers,?",[0.10222244 0.05284575 0.8449318 ],neutral,0.049376696
"""Amazon launches Explore for paid virtual classes, tours"",?",[0.0897928  0.01053962 0.8996676 ],neutral,0.07925318
"Retail stunner: 11% of Americans estimated to already have Walmart Plus,?",[0.08049918 0.0902459  0.82925487],neutral,-0.009746715
"Amazon's DRAM order will ease Q4 inventory backlog - Citi,?",[0.91823035 0.03532045 0.04644931],positive,0.8829099
"Stitch Fix drops as Amazon extends $5/month personal shopping to men,?",[0.15214609 0.7556461  0.0922078 ],negative,-0.6035
"""Amazon launches One palm reading device, addresses privacy concerns"",?",[0.10201364 0.00778099 0.8902053 ],neutral,0.09423265
"""SEC charges former Amazon employee, family with insider trades worth $1 4M"",?",[0.01952885 0.88335365 0.09711753],negative,-0.8638248
"BofA names the defensive stocks to consider to ride out fall volatility,?",[0.04058125 0.01823096 0.9411878 ],neutral,0.022350289
"Amazon the first stop for 60% of all online shoppers,?",[0.04281025 0.02234583 0.93484396],neutral,0.020464424
"""Amazon confirms Oct  13, 14 Prime Day event; deals start now"",?",[0.05604895 0.00912629 0.93482476],neutral,0.046922658
"""Amazon to expand tech hubs, corporate offices, adding 3,500 jobs"",?",[0.9021364  0.01075913 0.08710443],positive,0.8913773
"ETF hosting new crop of tech stars shines in FAANG carnage,?",[0.581244   0.03362569 0.38513035],positive,0.54761827
"""Amazon, eBay get bullish starts at Piper on 'conservative' estimates"",?",[0.13879526 0.27584514 0.5853596 ],neutral,-0.13704988
"UBS trend screen offers high-conviction picks to navigate 'cross currents',?",[0.04517685 0.01328713 0.94153607],neutral,0.031889718
