sentence,logit,prediction,sentiment_score
"title,
""Apple, Epic Games choose bench trial over jury"",?",[0.04756588 0.02633736 0.9260968 ],neutral,0.021228528
"Tim Cook scores first major stock grant since 2011,?",[0.5406459  0.0611899  0.39816424],positive,0.479456
"Apple accused of delaying blood-oxygen suit; Epic judge recommends jury trial,?",[0.02618011 0.8468996  0.12692022],negative,-0.82071954
"BofA names the defensive stocks to consider to ride out fall volatility,?",[0.04058125 0.01823097 0.9411878 ],neutral,0.02235028
"Apple's largest assemblers invest $900M in India smartphone production,?",[0.06781498 0.01516118 0.9170239 ],neutral,0.0526538
"Apple pauses 30% cut on real-world Facebook Events,?",[0.03696484 0.8795255  0.08350971],negative,-0.84256065
"Buy the dip in Apple ahead of new iPhone launch - Morgan Stanley's Huberty,?",[0.17181204 0.1310613  0.6971266 ],neutral,0.040750742
"EU appeals Apple tax ruling to European Court of Justice,?",[0.04372471 0.65735006 0.2989252 ],negative,-0.61362535
"""Spotify, Match Group, and Epic Games join app fairness nonprofit taking on Apple"",?",[0.31677747 0.01341183 0.6698108 ],neutral,0.30336565
"Apple sidelined at UBS on 'unsustainable' growth,?",[0.01384236 0.9460002  0.04015744],negative,-0.9321579
"Apple launches first online store in India,?",[0.5486572  0.04514259 0.40620026],positive,0.5035146
"How's work from home going Apple sees permanent changes,?",[0.10657341 0.04068159 0.852745  ],neutral,0.065891825
"FAANG reversal and industrial lift may be another signal of renaissance for real economy,?",[0.40390944 0.078513   0.5175775 ],neutral,0.32539645
"Apple's upsell mastery noted to be on display again,?",[0.12632616 0.05613592 0.81753796],neutral,0.070190236
"""Barclays sees valuations at dot-com bubble levels, cuts megacaps"",?",[0.02340072 0.92828745 0.04831187],negative,-0.9048867
"An antidote for waning tech lurks in materials ETF's biggest winners,?",[0.19482183 0.0791562  0.72602195],neutral,0.11566564
"Jefferies raises Apple target on 5G enthusiasm,?",[0.41522226 0.11737289 0.46740493],neutral,0.29784936
"""Retail investors had 'de minimis' impact on latest rally, BMO's Belski says"",?",[0.28870922 0.31829876 0.39299202],neutral,-0.029589534
"""Apple launches $399 Watch Series 6, $279 Watch SE, new iPads"",?",[0.12521629 0.01389932 0.86088437],neutral,0.111316964
"""Apple expected to unveil iPad, cheaper Watch at tomorrow's event"",?",[0.14343841 0.01396999 0.84259164],neutral,0.12946843
"""Amid pandemic, streaming music revenues may rise by $1B-plus in 2020"",?",[0.92118764 0.01373056 0.06508173],positive,0.90745705
"Weekly Wrap: Nasdaq loses technical support in correction,?",[0.01124315 0.97380865 0.01494812],negative,-0.9625655
"Apple loosens App Store rules on game streaming rivals (slightly),?",[0.04921666 0.8996112  0.05117219],negative,-0.8503945
"iPhone sales ?¬oderating substantiallyahead of new launch J.P. Morgan,?",[0.07833265 0.26153904 0.6601283 ],neutral,-0.1832064
"Epic says Apple reversed 'Sign In' removal; Apple denies block,?",[0.03561356 0.8760438  0.08834265],negative,-0.84043026
"""Apple countersues Epic for breach of contract, amping up App Store fight"",?",[0.04837643 0.8540031  0.09762049],negative,-0.80562663
"Apple announces 5G iPhone event for September 15 (update),?",[0.04146227 0.03893943 0.91959834],neutral,0.002522841
"Tech enters correction territory: At the Open,?",[0.05820103 0.30924258 0.63255644],neutral,-0.25104153
