sentence,logit,prediction,sentiment_score
"title,
Global markets churn higher on vaccine hopes,?",[0.61438334 0.16123728 0.22437942],positive,0.45314604
"Trian Fund cuts back on P&amp;G,?",[0.03713819 0.892911   0.06995075],negative,-0.85577285
"WeChat ban challenges Apple's $44B market in China,?",[0.02521688 0.9174249  0.05735824],negative,-0.89220804
"Largest annual sales gain for Procter &amp; Gamble since '06,?",[0.8071293  0.04988557 0.1429851 ],positive,0.75724375
"""Procter &amp; Gamble EPS beats by $0 15, beats on revenue"",?",[0.16009736 0.08865438 0.7512483 ],neutral,0.071442984
"Procter &amp; Gamble Q4 2020 Earnings Preview,?",[0.05949572 0.15346178 0.78704256],neutral,-0.09396606
"Market share grabs continue for Procter &amp; Gamble and Clorox,?",[0.72646475 0.04965527 0.22387995],positive,0.6768095
"Procter &amp; Gamble makes major sustainability pledge,?",[0.72082824 0.01378247 0.2653893 ],positive,0.7070458
"Procter &amp; Gamble declares $0 7907 dividend,?",[0.04629643 0.16111018 0.7925934 ],neutral,-0.114813745
"Procter &amp; Gamble guidance expected to steal the show on earnings day,?",[0.08642645 0.10486523 0.80870837],neutral,-0.018438779
"JPMorgan warms up to staples on macro concerns,?",[0.30787197 0.5635318  0.12859628],negative,-0.25565985
"P&amp;G review could be new bombshell for digital ad companies,?",[0.13739271 0.01706105 0.8455462 ],neutral,0.12033167
"Unilever criticized over skin-lightening products,?",[0.01881741 0.9323869  0.04879572],negative,-0.91356945
"Johnson &amp; Johnson drops skin-whitening creams amid environment over race issues,?",[0.01668909 0.94915897 0.034152  ],negative,-0.9324699
"Barron's touts eight dividend stocks for the COVID-19 recession,?",[0.0362438  0.23665568 0.7271005 ],neutral,-0.20041189
"The Charmin trade is back on,?",[0.10420682 0.05388026 0.8419129 ],neutral,0.05032656
"""Trian Fund adds stake in General Electric, cuts Procter &amp; Gamble"",?",[0.03093877 0.8117956  0.15726559],negative,-0.78085685
"Charlotte Tilbury said to be in play,?",[0.07147405 0.09419516 0.8343308 ],neutral,-0.022721112
"Procter &amp; Gamble seen powering into economic downturn,?",[0.05142573 0.6447377  0.30383655],negative,-0.593312
"Procter &amp; Gamble gains after organic sales beat,?",[0.89598083 0.05765115 0.04636798],positive,0.8383297
"""Procter &amp; Gamble EPS beats by $0 04, misses on revenue"",?",[0.13193433 0.34486407 0.5232016 ],neutral,-0.21292974
"Procter &amp; Gamble Q3 2020 Earnings Preview,?",[0.05359877 0.1311236  0.8152776 ],neutral,-0.07752483
"""Procter &amp; Gamble hikes dividend, pushes up earnings day"",?",[0.5891309  0.24437381 0.1664953 ],positive,0.34475708
"Procter &amp; Gamble increases dividend by 6%,?",[0.91143215 0.02465799 0.06390989],positive,0.8867742
"Top picks at JPMorgan include stay-at-home beneficiaries,?",[0.02672916 0.03358235 0.93968856],neutral,-0.006853195
"Investors hunker down in Walmart and Procter &amp; Gamble again,?",[0.05622075 0.25069705 0.6930822 ],neutral,-0.1944763
"Investors play defense with Walmart and Procter &amp; Gamble again,?",[0.04242351 0.14291573 0.8146607 ],neutral,-0.10049221
"Argus bullish on Procter &amp; Gamble,?",[0.04568272 0.768937   0.1853803 ],negative,-0.72325426
"Tokyo Olympics officially delayed,?",[0.01819285 0.89118344 0.09062374],negative,-0.8729906
"Procter &amp; Gamble warns on duration of pandemic,?",[0.04683863 0.42837653 0.52478486],neutral,-0.38153788
"Virus plays sold as animal spirits makes appearance,?",[0.03632219 0.18195283 0.781725  ],neutral,-0.14563064
"Pantry loading picks from UBS,?",[0.06261764 0.6214302  0.31595218],negative,-0.55881256
"""Stocks down big, but off worst levels"",?",[0.04069383 0.9091829  0.0501233 ],negative,-0.8684891
"Procter &amp; Gamble the least ugly of the Dow stocks on the day,?",[0.05959928 0.55789727 0.38250342],negative,-0.498298
"Investors size up consumer staples,?",[0.05247405 0.15007502 0.7974509 ],neutral,-0.09760097
"Tokyo Olympics in doubt due to coronavirus,?",[0.02011296 0.8867021  0.09318494],negative,-0.8665892
"Target says stockpiling trend is still strong,?",[0.9080554  0.01782194 0.07412259],positive,0.8902335
"JPMorgan stays positive on Procter &amp; Gamble amid the market turmoil,?",[0.622026   0.214754   0.16322003],positive,0.40727204
"Fear trading drives down consumer majors,?",[0.01843435 0.9198145  0.06175117],negative,-0.9013802
"Investors dive into consumer staples,?",[0.05337713 0.29145133 0.6551715 ],neutral,-0.2380742
"Big let's-stock-up rally in retail,?",[0.49879485 0.1201094  0.3810957 ],positive,0.37868544
"Consumer heavyweights battered on coronavirus fears,?",[0.01866493 0.92924803 0.05208708],negative,-0.9105831
"Procter &amp; Gamble sees material impact from coronavirus,?",[0.04904491 0.43115622 0.5197989 ],neutral,-0.3821113
"Nelson Peltz trims stake in Procter &amp; Gamble,?",[0.06930144 0.67545277 0.2552458 ],negative,-0.60615134
