sentence,logit,prediction,sentiment_score
"title,
Berkshire Hathaway added to Snowflake stake at IPO,?",[0.08443309 0.02004671 0.8955202 ],neutral,0.064386375
"Scripps in $2 65B deal for ION Media as Berkshire Hathaway puts more money to work,?",[0.4589291 0.0268677 0.5142032],neutral,0.4320614
"""Occidental to pay dividend to Buffett in cash, not stock"",?",[0.09306996 0.01309857 0.89383143],neutral,0.07997138
"MetLife said to start process to sell P&amp;C business - Inside P&amp;C,?",[0.02898591 0.01841161 0.9526025 ],neutral,0.010574298
"""Unity, Sumo Logic could catch tailwinds from Snowflake's IPO blockbuster"",?",[0.12422305 0.64606124 0.2297157 ],negative,-0.5218382
"Berkshire Hathaway taps Farmer to run BNSF Railway,?",[0.06728611 0.01843403 0.9142798 ],neutral,0.04885208
"Axalta shares dip as Berkshire Hathaway trims stake,?",[0.01398427 0.96642435 0.01959134],negative,-0.9524401
"Dueling lawsuits between Energizer and Duracell over battery claims,?",[0.01744948 0.92406034 0.05849014],negative,-0.90661085
"""Snowflake IPO price range of $75-$85, with Salesforce, Berkshire Hathaway set to buy"",?",[0.0755197  0.01145943 0.9130209 ],neutral,0.06406027
"Berkshire Hathaway stake in Wells Fargo stands at 3 3% (updated),?",[0.03908757 0.04602968 0.9148827 ],neutral,-0.006942101
"Berkshire puts more money to work with stakes in 5 Japanese trading companies,?",[0.58852273 0.03962536 0.37185186],positive,0.5488974
"""Berkshire investment """"significant step"""" for gold mining industry - Barrick CEO"",?",[0.03880234 0.04134475 0.9198529 ],neutral,-0.00254241
"Greenlight Capital picks up VanEck Vectors Gold Miners ETF shares,?",[0.11152051 0.14215332 0.7463262 ],neutral,-0.030632809
"""Berkshire Hathaway trims some bank stakes, exits Goldman, buys Barrick Gold"",?",[0.16470635 0.18957677 0.64571685],neutral,-0.024870425
"""Berkshire Hathaway may buy PPL's U K  electric utility unit, Seaport says in upgrade"",?",[0.16437612 0.00593873 0.82968515],neutral,0.1584374
"Berkshire-backed StoneCo surges on potential Linx deal,?",[0.07279015 0.69036835 0.23684148],negative,-0.6175782
"""Berkshire Hathaway A EPS beats by $13564 00, beats on revenue"",?",[0.19156627 0.05942596 0.74900776],neutral,0.13214031
"Berkshire Hathaway ratchets up stock buybacks in Q2,?",[0.3316047  0.16849966 0.49989572],neutral,0.16310503
"Berkshire Hathaway on deck for Q2 earnings,?",[0.05803902 0.1525822  0.78937876],neutral,-0.09454318
"Berkshire Hathaway BofA-buying spree continues,?",[0.29177797 0.03123436 0.67698765],neutral,0.2605436
"Berkshire Hathaway continues to build up BofA stake,?",[0.8097083  0.01330538 0.17698634],positive,0.79640293
"Berkshire continues to slowly add to Bank of America stake,?",[0.395603   0.01250265 0.5918944 ],neutral,0.38310036
"""Joe Biden's tax proposals would raise corporate tax for Amazon, Intel, Berkshire Hathaway and others"",?",[0.27895868 0.01561132 0.70543   ],neutral,0.26334736
"""Berkshire Hathaway adds $816M to Bank of America holdings, boosts stake to 11 4%"",?",[0.9250523  0.01472409 0.0602236 ],positive,0.9103282
"Value investor with '2 left feet' lays out his value plays,?",[0.04791464 0.10173979 0.85034555],neutral,-0.05382515
"Fed's corporate bond purchases slow in June,?",[0.01540002 0.93913823 0.04546169],negative,-0.92373824
"""Robinhood trading trends favor Tesla, Berkshire, Robintrack founder says"",?",[0.10416082 0.02402759 0.8718116 ],neutral,0.08013323
"Buffett continues donating Berkshire shares,?",[0.08562342 0.0059674  0.9084092 ],neutral,0.07965602
"Apple makes up 43% of Berkshire Hathaway's portfolio,?",[0.02252068 0.01304729 0.96443206],neutral,0.009473387
"Berkshire Hathaway in $10B deal for Dominion Energy assets,?",[0.14297318 0.01025137 0.8467754 ],neutral,0.13272181
"Has Buffett missed the rally ,?",[0.07049603 0.7287444  0.20075956],negative,-0.65824836
"Geico starts hiring spree across country,?",[0.3731121  0.45651647 0.17037138],negative,-0.08340436
"Costco teed up as Berkshire Hathaway target,?",[0.05473685 0.05353839 0.89172477],neutral,0.0011984557
"""Ackman dumped Berkshire, bought Lowe's recently with fund up 20%+"",?",[0.84909046 0.0140035  0.13690603],positive,0.83508694
"Buffett gets burned by Schulz purchase - Guardian,?",[0.04393858 0.5669285  0.38913292],negative,-0.5229899
