sentence,logit,prediction,sentiment_score
"title,
BofA names picks to play growing penetration of online commerce,?",[0.68069303 0.01485556 0.3044514 ],positive,0.66583747
"""As Facebook and Google went, so went communications services names: Q3 Spotlight"",?",[0.03745073 0.03169143 0.93085784],neutral,0.005759299
"""Senate panel will subpoena Zuckerberg, Pichai, Dorsey"",?",[0.03771008 0.28456014 0.6777297 ],neutral,-0.24685006
"Facebook broadens scope of prohibited election ads,?",[0.66619843 0.01297845 0.3208232 ],positive,0.65322
"""Senate committee to vote on subpoenas for CEOs of Google, Facebook, Twitter"",?",[0.10195272 0.10151737 0.79652995],neutral,0.00043534487
"Facebook brings Messenger with disappearing messages to Instagram,?",[0.0362533  0.23023959 0.73350716],neutral,-0.1939863
"Facebook names new chief marketer from within,?",[0.07287806 0.01923067 0.9078912 ],neutral,0.053647384
"Communication services edges out of correction territory: At the Open,?",[0.17133006 0.27021074 0.55845916],neutral,-0.09888068
"Apple pauses 30% cut on real-world Facebook Events,?",[0.03696484 0.8795255  0.08350971],negative,-0.84256065
"""Senate committee set to subpoena CEOs of Google, Facebook, Twitter over Section 230"",?",[0.0362877  0.66551715 0.29819515],negative,-0.6292294
"""YouTube expands fact-checking, Facebook readies oversight board"",?",[0.0604307  0.02183939 0.91772985],neutral,0.03859131
"DOJ proposes congressional limits for Internet-company immunity,?",[0.04585896 0.04834537 0.90579563],neutral,-0.0024864078
"""Facebook, YouTube and Twitter ink deal with advertisers on harmful content"",?",[0.03689538 0.10891308 0.8541916 ],neutral,-0.0720177
"Facebook not planning to exit Europe in face of regulator challenge - exec,?",[0.03343138 0.7446137  0.22195491],negative,-0.7111823
"""Megacaps holding up against major levels, despite weakness: At the Open"",?",[0.761761   0.14869674 0.08954233],positive,0.6130643
"Facebook gains after Oppenheimer hikes price target off advertising recovery confidence,?",[0.79914165 0.15019321 0.05066515],positive,0.64894843
"Facebook says EU business at risk from regulatory action - report,?",[0.03151511 0.8527146  0.11577027],negative,-0.8211995
"FAANG reversal and industrial lift may be another signal of renaissance for real economy,?",[0.40390944 0.078513   0.5175775 ],neutral,0.32539645
"""Barclays sees valuations at dot-com bubble levels, cuts megacaps"",?",[0.02340072 0.9282874  0.04831188],negative,-0.90488666
"""Instagram, TikTok heads engage as deadlines close in"",?",[0.08596607 0.42887908 0.48515493],neutral,-0.342913
"Facebook shares in need of resilience to close out week: At the Open,?",[0.35718694 0.35513842 0.2876747 ],positive,0.0020485222
"TikTok and WeChat downloads to be barred in U S  starting Sunday,?",[0.02362338 0.80801517 0.16836146],negative,-0.78439176
"An antidote for waning tech lurks in materials ETF's biggest winners,?",[0.19482183 0.0791562  0.72602195],neutral,0.11566564
"Facebook launches Business Suite first to small businesses,?",[0.18749946 0.01087961 0.80162096],neutral,0.17661984
"""Facebook, New York Times team up on augmented-reality journalism"",?",[0.26467967 0.02335997 0.7119604 ],neutral,0.2413197
"""Facebook launches Project Aria for AR glasses, announces Oculus Quest 2"",?",[0.19573066 0.02170843 0.7825609 ],neutral,0.17402223
"FTC prepping possible antitrust suit against Facebook - WSJ,?",[0.04051013 0.68844235 0.2710475 ],negative,-0.64793223
"Needham highlights value drivers implying 70% upside for this ad industry player,?",[0.66549444 0.03031777 0.30418774],positive,0.63517666
"Kim Kardashian West freezing Instagram and Facebook accounts; shares dip,?",[0.01359395 0.9578641  0.02854188],negative,-0.94427013
"Facebook buying REI's brand-new HQ for $368M,?",[0.09969181 0.02908138 0.8712268 ],neutral,0.07061043
"Internet/platform stocks rise on bullish initiation at KeyBanc,?",[0.78587395 0.1383131  0.075813  ],positive,0.64756083
"""YouTube introduces Shorts, its own TikTok-alike feature"",?",[0.08769079 0.0123636  0.8999456 ],neutral,0.075327195
