sentence,logit,prediction,sentiment_score
"title,
BofA names picks to play growing penetration of online commerce,?",[0.68069303 0.01485556 0.3044514 ],positive,0.66583747
"Judge sets October timelines to litigate Trump's TikTok ban,?",[0.17348939 0.34792003 0.4785906 ],neutral,-0.17443064
"Walmart a top idea for Q4 at Bank of America,?",[0.06866208 0.02975872 0.90157926],neutral,0.03890336
"Retail stunner: 11% of Americans estimated to already have Walmart Plus,?",[0.08049916 0.09024587 0.829255  ],neutral,-0.0097467005
"Walmart eyes using Tesla Semi trucks in Canada to lower costs,?",[0.82741743 0.02230797 0.15027459],positive,0.80510944
"Beyond Meat gains on expanded Walmart distribution deal,?",[0.8603532  0.08747477 0.05217198],positive,0.7728784
"Walmart deserves high trading multiple - Credit Suisse,?",[0.10780492 0.02148422 0.8707109 ],neutral,0.0863207
"Walmart in talks for up to $25B investment in Tata app - report,?",[0.20363556 0.01201785 0.7843466 ],neutral,0.19161771
"Favorite food retail names from BMO Capital,?",[0.02729261 0.04340054 0.9293069 ],neutral,-0.01610793
"Walmart closes in on Asda buyer after long path,?",[0.11250328 0.66618794 0.22130878],negative,-0.55368465
"Justice Dept  keeps pushing on weekend TikTok ban,?",[0.06673495 0.63951975 0.29374534],negative,-0.5727848
"Judge directs U S  to either respond by Friday or postpone TikTok ban,?",[0.06734623 0.39532354 0.53733027],neutral,-0.3279773
"605 and Walmart expand existing relationship,?",[0.7482516  0.02892984 0.22281852],positive,0.7193218
"Walmart+ seen growing to 10M members by the end of 2021,?",[0.7577701  0.01113431 0.23109554],positive,0.7466358
"""Walmart, Goldman to offer Marketplace sellers access to capital"",?",[0.3137114  0.00918374 0.6771049 ],neutral,0.30452767
"Conflicting deal structure could threaten Oracle-TikTok takeover,?",[0.01577451 0.95253897 0.0316865 ],negative,-0.9367645
"Investors camp out in Walmart and Campbell Soup amid pandemic focus,?",[0.06081195 0.5309639  0.4082241 ],negative,-0.47015196
"Retail check: Holiday sales seen rising 1 0% to 2 6%,?",[0.93191004 0.02716825 0.04092162],positive,0.90474176
"ByteDance denies TikTok Global will be American owned,?",[0.04690318 0.2900012  0.66309565],neutral,-0.24309804
"Walmart widens fashion focus with new private clothing label,?",[0.8082241  0.01861407 0.1731618 ],positive,0.78961
"""Oracle, Walmart fill in details of investment in TikTok Global"",?",[0.03403217 0.01333492 0.9526329 ],neutral,0.02069725
"Trump says he gives Oracle-TikTok deal his 'blessing',?",[0.16060068 0.03695085 0.8024485 ],neutral,0.123649836
"""Instagram, TikTok heads engage as deadlines close in"",?",[0.08596607 0.42887908 0.48515493],neutral,-0.342913
"TikTok and WeChat downloads to be barred in U S  starting Sunday,?",[0.02362338 0.80801517 0.16836146],negative,-0.78439176
"""Walmart makes store organization changes, hikes pay for 165K"",?",[0.34023893 0.14431849 0.5154426 ],neutral,0.19592044
"""Treasury, Oracle, ByteDance agree on TikTok terms - reports"",?",[0.25770766 0.0397688  0.7025235 ],neutral,0.21793886
"Trump to decide on Oracle-TikTok in 24-36 hours - CNBC,?",[0.0543357  0.03520324 0.9104611 ],neutral,0.019132461
"Flipkart eyes IPO as Walmart looks to double its investment,?",[0.8480061  0.04275173 0.10924215],positive,0.8052544
"""Amazon plans 1,000 delivery hubs in smaller towns - Bloomberg"",?",[0.04397279 0.01039555 0.9456317 ],neutral,0.033577237
"TikTok plans stand-alone global company with Oracle as minority holder - FT,?",[0.02512082 0.01318475 0.96169436],neutral,0.011936072
