sentence,logit,prediction,sentiment_score
"title,
Investors' Covid trend expectations laid bare in Q3 analysis of top performers,?",[0.09420487 0.03290966 0.87288547],neutral,0.06129521
"""Awaiting Nvidia deal approval, Arm launches new autonomous chip designs"",?",[0.25443813 0.0095395  0.7360224 ],neutral,0.24489863
"""VMware announces Nvidia AI tie-up, Carbon Black-based security solutions"",?",[0.20024239 0.00899878 0.7907588 ],neutral,0.1912436
"""Evercore expects chips to keep leading, but volatility makes careful picks more important"",?",[0.71330744 0.05734327 0.2293493 ],positive,0.6559642
"""KLAC and LRCX top, while AMKR and OLED bottom Citi Analyst's semiconductor rankings"",?",[0.17116651 0.18516615 0.6436674 ],neutral,-0.013999641
"Li Auto adopts Nvidia's autonomous driving smart chip Orin,?",[0.32356194 0.00907708 0.667361  ],neutral,0.31448486
"""Nvidia apologizes for selling out of RTX 3080 GPUs, increases supplies"",?",[0.5885733  0.3563427  0.05508399],positive,0.23223057
"U K  mulling job conditions in Nvidia's Arm purchase - Bloomberg,?",[0.0310662  0.82660425 0.14232957],negative,-0.79553807
"Nvidia gets Street-high target at Needham on 'risky' Arm deal,?",[0.44692785 0.3533037  0.19976848],positive,0.093624145
"""Nvidia's $40B Arm offer draws Street-high target, criticism"",?",[0.2206309  0.35855553 0.42081353],neutral,-0.13792463
"Nvidia confirms $40B deal for Arm Holdings,?",[0.31002638 0.02967538 0.6602982 ],neutral,0.28035098
"Nvidia nears $40B+ purchase of Arm Holdings from Softbank - WSJ,?",[0.20225698 0.04610128 0.7516418 ],neutral,0.1561557
"Tech enters correction territory: At the Open,?",[0.05820103 0.30924258 0.63255644],neutral,-0.25104153
"Chip stocks continue to trend lower following yesterday's tech bloodbath,?",[0.01568833 0.9686876  0.01562407],negative,-0.95299923
"Nvidia gets Street-high price target at BofA after Ampere GPU launch,?",[0.60429    0.12409944 0.27161056],positive,0.48019058
"Nvidia announces RTX 30 Ampere GPUs,?",[0.07305605 0.12523533 0.80170864],neutral,-0.052179284
"Megacaps looking increasingly Teflon: At the Open,?",[0.0942452  0.24572137 0.66003346],neutral,-0.15147617
"AMD adds to long run as Ryzen wins PC notice; chipmakers rise ahead of catalysts,?",[0.8080791  0.07088546 0.12103532],positive,0.73719364
