sentence,logit,prediction,sentiment_score
"title,
Tesla cuts Model 3 prices in China in highly-anticipated move,?",[0.11583205 0.79098964 0.09317833],negative,-0.6751576
"EVs still stand strong among best consumer stocks to own: Q3 Spotlight,?",[0.9212007  0.0344036  0.04439569],positive,0.8867971
"Wedbush points to demand surge for Tesla in China,?",[0.8307672  0.05381835 0.11541437],positive,0.77694887
"Investors' Covid trend expectations laid bare in Q3 analysis of top performers,?",[0.10222244 0.05284575 0.8449318 ],neutral,0.049376696
"Tesla rallies ahead of Q3 deliveries report,?",[0.36944392 0.469003   0.16155308],negative,-0.09955907
"Tesla looks to make Models 3s in China with cobalt-free batteries,?",[0.07960639 0.0082059  0.91218776],neutral,0.07140049
"Walmart eyes using Tesla Semi trucks in Canada to lower costs,?",[0.82741743 0.02230797 0.15027459],positive,0.80510944
"Auto ETFs may offer relatively cheap play on booming consumer,?",[0.2893633  0.01791665 0.69272006],neutral,0.27144665
"Tesla eyes mining lithium on its own,?",[0.04500574 0.172291   0.7827032 ],neutral,-0.12728526
"""Tesla stock may be a bit high, but will be worth more in five years - Musk"",?",[0.17812416 0.01801585 0.80386   ],neutral,0.1601083
"EPA chief rips California's plan to ban new gas-powered cars,?",[0.04160689 0.7360171  0.22237605],negative,-0.6944102
"Tesla said to be eying investment in LG Chem,?",[0.0523925  0.01730952 0.9302979 ],neutral,0.03508298
"U S  auto market share winners and losers,?",[0.14914928 0.26833984 0.5825108 ],neutral,-0.11919056
"Piedmont Lithium sky-high on sales agreement with Tesla,?",[0.861665   0.02947983 0.10885516],positive,0.83218515
"U S  auto sales to rise in September amid demand recovery,?",[0.90401894 0.03556871 0.06041226],positive,0.8684502
"CBAK Energy leads big moves in EV space,?",[0.14767785 0.01115651 0.84116566],neutral,0.13652134
"""Amazon debuts spherical new $99 Echo, security drone, game streaming service"",?",[0.71572965 0.01646828 0.26780203],positive,0.69926137
"Take the over on EVs - Morgan Stanley,?",[0.04187377 0.05460158 0.90352464],neutral,-0.012727812
"California to ban new gasoline car sales by 2035,?",[0.03701533 0.5927283  0.3702563 ],negative,-0.555713
"""Tesla -8% as network outage, Battery Day reveals and tariff lawsuit digested"",?",[0.02950052 0.9306699  0.03982959],negative,-0.90116936
"Tesla said to be experiencing 'complete network' outage,?",[0.02396154 0.88463295 0.09140555],negative,-0.8606714
"Tesla files lawsuit over China tariffs,?",[0.01991521 0.92032576 0.05975901],negative,-0.90041053
"Tesla -5% as Wall Street reactions to Battery Day start to pour in,?",[0.35106537 0.45841613 0.1905185 ],negative,-0.10735077
"""Tesla Battery Day: Promises for battery breakthroughs, $25K EV"",?",[0.3618565  0.01683412 0.6213094 ],neutral,0.34502238
"""Tesla Battery Day event on tap: Discuss, debate, dissect"",?",[0.02579176 0.02526394 0.94894433],neutral,0.0005278215
"WM Motor lands new investments as it rushes into crowded China EV market,?",[0.5349374  0.02025959 0.44480306],positive,0.51467776
"Elon Musk sets expectations for Tesla's Battery Day Event,?",[0.04932073 0.05204076 0.8986385 ],neutral,-0.0027200282
"Michigan looks to slam the door tight on direct sales,?",[0.06503045 0.53107005 0.40389952],negative,-0.4660396
"Tesla eyes starting up in India with R&amp;D center,?",[0.09568215 0.00746061 0.89685726],neutral,0.088221535
"Musk rallies the troops with 'shot at record quarter',?",[0.29436716 0.26189926 0.4437335 ],neutral,0.0324679
"""Tesla Energy to become $200B revenue business, Piper analyst predicts"",?",[0.33833292 0.0146111  0.647056  ],neutral,0.32372183
"Seeking Alpha Catalyst Watch,?",[0.05278904 0.02536338 0.9218475 ],neutral,0.027425667
"Ford aims for electric F-150 to be the blue collar winner,?",[0.5762121  0.01844323 0.40534464],positive,0.5577689
"""Retail investors had 'de minimis' impact on latest rally, BMO's Belski says"",?",[0.28870922 0.31829876 0.39299202],neutral,-0.029589534
"Tesla slips after GM ramps up EV plans,?",[0.0194681  0.94527996 0.03525196],negative,-0.9258118
"A routine Nasdaq bounce  Small caps tell a different story,?",[0.06003311 0.12930848 0.8106584 ],neutral,-0.069275364
"Tesla rallies as Battery Day approaches,?",[0.35713196 0.17248869 0.47037935],neutral,0.18464327
"""Evercore picks automakers, suppliers to gain from early valuation roll"",?",[0.14553718 0.01604872 0.8384141 ],neutral,0.12948847
"Tesla in talks to buy low carbon nickel from Canada's Giga Metals - Reuters,?",[0.29799157 0.02563176 0.67637664],neutral,0.27235982
"UBS doubles its price target on Tesla ahead of Battery Day event,?",[0.7081287  0.15554443 0.13632685],positive,0.5525843
"Tesla cuts Model 3 prices in China in highly-anticipated move,?",[0.07088165 0.8816259  0.04749242],negative,-0.8107442
"EVs still stand strong among best consumer stocks to own: Q3 Spotlight,?",[0.9212007  0.0344036  0.04439569],positive,0.8867971
"Wedbush points to demand surge for Tesla in China,?",[0.8307672  0.05381835 0.11541437],positive,0.77694887
"Investors' Covid trend expectations laid bare in Q3 analysis of top performers,?",[0.10222244 0.05284575 0.8449318 ],neutral,0.049376696
